Short Window,Long Window,Accuracy
21,109,0.7793427230046949
63,83,0.7777777777777778
98,134,0.7777777777777778
41,60,0.7777777777777778
97,133,0.7777777777777778
41,64,0.7777777777777778
97,133,0.7777777777777778
41,59,0.7762128325508607
99,125,0.7746478873239436
99,131,0.7746478873239436
99,124,0.7746478873239436
100,127,0.7730829420970265
92,112,0.7730829420970265
5,106,0.7730829420970265
48,67,0.7730829420970265
53,70,0.7730829420970265
99,134,0.7715179968701096
120,139,0.7715179968701096
99,136,0.7715179968701096
7,48,0.7715179968701096
23,118,0.7715179968701096
100,139,0.7715179968701096
102,133,0.7699530516431925
101,140,0.7699530516431925
5,45,0.7699530516431925
102,127,0.7699530516431925
122,139,0.7699530516431925
94,114,0.7699530516431925
5,45,0.7699530516431925
102,127,0.7699530516431925
100,122,0.7699530516431925
101,131,0.7699530516431925
122,139,0.7699530516431925
116,140,0.7699530516431925
64,85,0.7683881064162754
101,124,0.7683881064162754
35,61,0.7683881064162754
102,124,0.7683881064162754
12,52,0.7683881064162754
121,139,0.7683881064162754
102,140,0.7683881064162754
116,139,0.7683881064162754
123,139,0.7683881064162754
104,133,0.7683881064162754
102,136,0.7683881064162754
6,45,0.7683881064162754
120,140,0.7683881064162754
122,138,0.7683881064162754
118,139,0.7683881064162754
117,140,0.7683881064162754
104,138,0.7668231611893583
103,136,0.7668231611893583
100,121,0.7668231611893583
30,49,0.7668231611893583
126,139,0.7668231611893583
123,138,0.7668231611893583
30,49,0.7668231611893583
103,134,0.7668231611893583
60,77,0.7668231611893583
121,140,0.7668231611893583
32,49,0.7668231611893583
103,126,0.7668231611893583
124,140,0.7668231611893583
118,137,0.7668231611893583
34,50,0.7668231611893583
105,136,0.7668231611893583
101,136,0.7668231611893583
113,135,0.7652582159624414
106,134,0.7652582159624414
112,139,0.7652582159624414
22,112,0.7652582159624414
108,139,0.7652582159624414
5,104,0.7652582159624414
126,140,0.7652582159624414
121,138,0.7652582159624414
107,132,0.7652582159624414
113,140,0.7652582159624414
106,126,0.7652582159624414
124,138,0.7652582159624414
121,138,0.7652582159624414
111,131,0.7636932707355243
107,139,0.7636932707355243
111,131,0.7636932707355243
108,133,0.7636932707355243
110,130,0.7636932707355243
109,137,0.7636932707355243
99,118,0.7636932707355243
107,139,0.7636932707355243
60,76,0.7636932707355243
121,135,0.7636932707355243
108,140,0.7636932707355243
104,140,0.7636932707355243
48,64,0.7636932707355243
113,132,0.7636932707355243
22,110,0.7621283255086072
103,122,0.7621283255086072
63,79,0.7621283255086072
107,131,0.7621283255086072
109,130,0.7621283255086072
107,125,0.7621283255086072
112,134,0.7621283255086072
113,137,0.7621283255086072
125,138,0.7621283255086072
118,134,0.7621283255086072
115,133,0.7621283255086072
107,131,0.7621283255086072
112,137,0.7621283255086072
117,133,0.7621283255086072
106,130,0.7621283255086072
120,135,0.7621283255086072
109,132,0.7621283255086072
112,132,0.7621283255086072
129,140,0.7621283255086072
124,137,0.7605633802816901
124,137,0.7605633802816901
126,138,0.7605633802816901
129,139,0.7605633802816901
126,138,0.7605633802816901
102,120,0.7605633802816901
114,130,0.7605633802816901
131,140,0.758998435054773
106,124,0.758998435054773
128,139,0.758998435054773
92,107,0.758998435054773
131,140,0.758998435054773
116,131,0.758998435054773
57,73,0.758998435054773
118,132,0.758998435054773
105,123,0.758998435054773
132,140,0.7574334898278561
127,138,0.755868544600939
125,136,0.755868544600939
123,135,0.755868544600939
111,126,0.755868544600939
117,131,0.755868544600939
99,116,0.755868544600939
97,114,0.7543035993740219
122,133,0.7543035993740219
119,131,0.7543035993740219
29,45,0.7543035993740219
115,127,0.7543035993740219
115,128,0.7543035993740219
110,124,0.7543035993740219
109,124,0.7543035993740219
126,137,0.7543035993740219
120,131,0.7527386541471048
117,129,0.7527386541471048
126,136,0.7527386541471048
130,138,0.7527386541471048
127,137,0.7527386541471048
113,125,0.7527386541471048
116,127,0.7511737089201878
116,127,0.7511737089201878
113,126,0.7511737089201878
97,113,0.7511737089201878
116,127,0.7511737089201878
57,72,0.7511737089201878
101,115,0.7496087636932708
94,108,0.7496087636932708
94,108,0.7496087636932708
117,127,0.7496087636932708
120,130,0.7480438184663537
96,110,0.7480438184663537
116,126,0.7480438184663537
116,126,0.7480438184663537
123,132,0.7480438184663537
129,137,0.7480438184663537
103,116,0.7480438184663537
129,136,0.7464788732394366
129,136,0.7464788732394366
48,62,0.7464788732394366
99,114,0.7464788732394366
130,137,0.7464788732394366
107,118,0.7449139280125195
106,117,0.7449139280125195
104,115,0.7433489827856025
105,116,0.7433489827856025
60,74,0.7417840375586855
121,129,0.7417840375586855
93,105,0.7417840375586855
114,123,0.7417840375586855
105,115,0.7402190923317684
133,139,0.7402190923317684
101,113,0.7402190923317684
133,139,0.7402190923317684
133,139,0.7402190923317684
109,118,0.7402190923317684
105,115,0.7402190923317684
120,128,0.7402190923317684
123,130,0.7386541471048513
134,140,0.7386541471048513
120,127,0.7386541471048513
118,126,0.7386541471048513
116,124,0.7386541471048513
120,127,0.7386541471048513
119,127,0.7370892018779343
135,140,0.7370892018779343
119,127,0.7370892018779343
119,127,0.7370892018779343
124,131,0.7370892018779343
114,122,0.7355242566510172
95,106,0.7355242566510172
122,129,0.7355242566510172
100,111,0.7355242566510172
113,121,0.7355242566510172
121,128,0.7339593114241002
114,121,0.7323943661971831
115,122,0.7323943661971831
136,140,0.7323943661971831
116,123,0.730829420970266
138,140,0.729264475743349
134,138,0.729264475743349
134,138,0.729264475743349
129,135,0.729264475743349
137,138,0.7276995305164319
137,140,0.7276995305164319
135,139,0.7276995305164319
137,138,0.7276995305164319
137,140,0.7276995305164319
137,140,0.7276995305164319
137,140,0.7276995305164319
137,138,0.7276995305164319
138,139,0.7261345852895149
138,139,0.7261345852895149
138,139,0.7261345852895149
138,139,0.7261345852895149
138,139,0.7261345852895149
137,139,0.7245696400625978
137,139,0.7245696400625978
133,137,0.7245696400625978
137,139,0.7245696400625978
137,139,0.7245696400625978
136,138,0.7245696400625978
133,137,0.7245696400625978
136,138,0.7245696400625978
136,138,0.7245696400625978
137,139,0.7245696400625978
116,122,0.7230046948356808
132,136,0.7230046948356808
131,135,0.7214397496087637
133,136,0.7214397496087637
98,106,0.7214397496087637
130,135,0.7214397496087637
68,81,0.7198748043818466
136,137,0.7198748043818466
135,137,0.7198748043818466
121,127,0.7198748043818466
135,137,0.7198748043818466
136,137,0.7198748043818466
133,134,0.7183098591549296
133,134,0.7183098591549296
134,135,0.7183098591549296
134,135,0.7183098591549296
109,113,0.7183098591549296
33,43,0.7183098591549296
133,134,0.7183098591549296
125,130,0.7167449139280125
125,130,0.7167449139280125
