Short Window,Long Window,Accuracy
85,127,0.7871674491392802
82,139,0.7871674491392802
95,121,0.7871674491392802
91,118,0.7871674491392802
88,124,0.7871674491392802
89,131,0.7871674491392802
90,133,0.7871674491392802
83,121,0.7871674491392802
86,130,0.7856025039123631
30,125,0.7856025039123631
82,130,0.7856025039123631
84,130,0.7856025039123631
85,131,0.7856025039123631
24,122,0.7856025039123631
96,128,0.784037558685446
20,98,0.784037558685446
20,98,0.784037558685446
20,115,0.784037558685446
96,129,0.784037558685446
82,128,0.784037558685446
80,132,0.784037558685446
20,115,0.784037558685446
94,117,0.7824726134585289
95,119,0.7824726134585289
11,56,0.7824726134585289
18,114,0.7824726134585289
11,58,0.7824726134585289
79,134,0.7824726134585289
54,74,0.7824726134585289
19,111,0.7809076682316118
62,82,0.7809076682316118
97,126,0.7809076682316118
59,77,0.7809076682316118
23,139,0.7809076682316118
50,73,0.7809076682316118
98,130,0.7793427230046949
97,123,0.7793427230046949
98,132,0.7793427230046949
97,135,0.7777777777777778
98,134,0.7777777777777778
98,136,0.7777777777777778
97,129,0.7777777777777778
98,131,0.7777777777777778
40,57,0.7777777777777778
98,129,0.7762128325508607
41,65,0.7762128325508607
98,138,0.7762128325508607
58,76,0.7762128325508607
79,135,0.7762128325508607
42,63,0.7762128325508607
99,130,0.7746478873239436
5,48,0.7746478873239436
56,74,0.7746478873239436
42,62,0.7746478873239436
100,131,0.7746478873239436
99,131,0.7746478873239436
55,73,0.7730829420970265
101,132,0.7730829420970265
41,63,0.7730829420970265
42,58,0.7730829420970265
39,61,0.7730829420970265
38,55,0.7730829420970265
99,135,0.7730829420970265
48,67,0.7730829420970265
92,112,0.7730829420970265
100,132,0.7730829420970265
34,55,0.7730829420970265
101,130,0.7715179968701096
100,135,0.7715179968701096
45,66,0.7715179968701096
7,49,0.7715179968701096
79,139,0.7715179968701096
99,136,0.7715179968701096
7,48,0.7715179968701096
95,116,0.7715179968701096
12,53,0.7699530516431925
122,139,0.7699530516431925
7,46,0.7699530516431925
101,140,0.7699530516431925
122,139,0.7699530516431925
22,109,0.7699530516431925
91,110,0.7699530516431925
99,121,0.7699530516431925
101,134,0.7699530516431925
102,134,0.7699530516431925
91,110,0.7699530516431925
101,134,0.7699530516431925
119,138,0.7683881064162754
122,138,0.7683881064162754
104,137,0.7683881064162754
103,127,0.7683881064162754
118,139,0.7683881064162754
